Feature,Importance
bmi,0.3576781174946792
s5,0.23282226898958236
bp,0.08853364549440504
s6,0.06979902104041566
age,0.057970800951102755
s2,0.057822538743439664
s1,0.05142206273504759
s3,0.05112796375899978
s4,0.02355821916139023
sex,0.009265361630937765
