Model,MSE,RMSE,MAE,R² Score
Linear Regression,2900.1936284934823,53.853445836765935,42.79409467959994,0.45260276297191926
Random Forest,2975.6969071764934,54.549948736699044,44.4292519440115,0.43835189167436706
MLP/Neural Network,2912.4587937518163,53.96720109243962,42.81688467304358,0.450287773549095
